ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G
american blend cheese swiss,1 slice,21.0,1062.0,7.16,0.74,27.16,30.0,16.79,1430.0,262.0,0.0,6.5
american cheese fat free nonfat,1 slice,21.0,789.0,10.53,0.0,0.0,115.0,21.05,1316.0,56.0,0.0,0.1
american cheese fat reduce,"1 cup, NFS",113.0,529.0,10.6,0.2,14.1,33.0,17.6,1201.0,250.0,0.0,5.3
american cheese reduce sodium,"1 cup, shredded",113.0,616.0,1.6,0.39,31.19,22.0,22.2,7.0,254.0,0.0,0.6
blue cheese roquefort,1 cubic inch,17.3,528.0,2.34,0.31,28.74,23.0,21.4,1146.0,198.0,0.0,0.5
brick cheese,1 cracker-size slice,9.0,674.0,2.79,0.43,29.68,24.0,23.24,560.0,292.0,0.0,0.5
brie cheese,"1 cup, NFS",144.0,184.0,0.45,0.5,27.68,20.0,20.75,629.0,174.0,0.0,0.5
camembert cheese,1 cubic inch,17.0,388.0,0.46,0.33,24.26,20.0,19.8,842.0,241.0,0.0,0.4
cheddar cheese,"1 cup, cubed",132.0,707.0,2.44,0.16,34.0,27.0,23.3,654.0,316.0,0.0,0.6
cheddar cheese fat free nonfat,1 stick,28.35,893.0,7.14,0.0,0.0,16.0,32.14,1000.0,60.0,0.0,0.1
cheddar cheese fat reduce,"1 cup, shredded",113.0,761.0,2.67,0.12,20.41,27.0,27.35,628.0,145.0,0.0,0.3
cheddar cheese reduce sodium,Quantity not specified,21.0,703.0,1.91,0.72,32.62,27.0,24.35,21.0,264.0,0.0,0.6
cheese colby,"1 cup, shredded",113.0,685.0,2.57,0.76,32.11,26.0,23.76,604.0,264.0,0.0,0.6
cheese colby jack,1 cracker-size slice,9.0,700.0,2.24,0.38,32.37,28.0,23.19,633.0,228.0,0.0,0.3
cheese feta,1 cubic inch,17.0,371.0,5.58,0.07,19.08,18.0,19.71,1034.0,147.0,0.0,0.0
cheese fontina,1 cubic inch,15.0,550.0,1.55,0.23,31.14,14.0,25.6,800.0,261.0,0.0,0.6
cheese edam gouda,1 slice,21.0,700.0,2.22,0.24,27.44,29.0,24.94,819.0,165.0,0.0,0.5
cheese gruyere,1 package (6 oz),170.0,1011.0,0.36,0.17,32.34,36.0,29.81,714.0,271.0,0.0,0.6
cheese limburger,1 cup,134.0,497.0,0.49,0.13,27.25,21.0,20.05,800.0,340.0,0.0,0.5
blend cheese mexican,"1 cup, melted",244.0,665.0,2.4,0.05,29.34,28.0,21.92,710.0,213.0,0.0,0.2
blend cheese fat mexican reduce,Quantity not specified,21.0,1146.0,3.41,0.13,19.4,35.0,24.69,776.0,155.0,0.0,0.4
cheese monterey,"1 cup, diced",132.0,715.0,1.9,0.0,32.63,30.0,22.62,662.0,192.0,0.0,0.0
cheese fat monterey reduce,1 cubic inch,16.6,705.0,0.7,0.72,21.6,27.0,28.2,781.0,142.0,0.0,0.4
cheese mozzarella,1 cubic inch,18.0,693.0,4.44,0.2,20.4,27.0,23.7,699.0,203.0,0.0,0.4
cheese fat free mozzarella nonfat,Quantity not specified,21.0,961.0,3.5,0.31,0.0,33.0,31.7,743.0,127.0,0.0,0.0
cheese mozzarella part skim,1 stick,28.35,693.0,4.44,0.2,20.4,27.0,23.7,699.0,203.0,0.0,0.4
cheese mozzarella reduce sodium,"1 cup, diced",132.0,731.0,3.1,0.25,17.1,26.0,27.5,16.0,137.0,0.0,0.3
cheese muenster,1 cubic inch,17.5,717.0,1.12,0.41,30.04,27.0,23.41,628.0,298.0,0.0,0.6
cheese fat muenster reduce,1 cracker-size slice,9.0,529.0,3.5,0.41,17.6,27.0,24.7,600.0,175.0,0.0,0.3
cheese,1 cracker-size slice,9.0,849.0,4.33,0.39,31.26,28.0,20.7,964.0,294.0,0.0,3.0
cheese dry grate parmesan,1 cup,100.0,917.0,8.36,0.3,28.75,35.0,29.87,1398.0,230.0,0.0,0.2
cheese dry fat free grate parmesan,Quantity not specified,7.5,800.0,40.0,5.0,5.0,40.0,40.0,1150.0,40.0,0.0,0.0
cheese dry fat grate parmesan reduce,Quantity not specified,7.0,842.0,26.2,2.72,16.5,38.0,34.8,1450.0,134.0,0.0,0.2
cheese hard parmesan,1 cubic inch,10.3,917.0,8.36,0.3,28.75,35.0,29.87,1398.0,230.0,0.0,0.2
cheese du port salut,"1 cup, shredded",113.0,700.0,2.22,0.24,27.44,29.0,24.94,819.0,165.0,0.0,0.5
cheese provolone,"1 cup, diced",132.0,749.0,2.45,0.0,28.13,30.0,23.45,601.0,200.0,0.0,0.0
cheese ricotta,1 cup,246.0,248.0,6.0,0.27,9.46,18.0,9.6,102.0,117.0,0.0,0.2
cheese swiss,"1 cup, shredded",108.0,890.0,1.44,0.13,31.0,33.0,27.0,185.0,292.0,0.0,0.0
cheese fat free nonfat swiss,1 cubic inch,15.0,961.0,3.4,0.17,0.0,36.0,28.4,1000.0,40.0,0.0,0.1
cheese fat reduce swiss,Quantity not specified,21.0,961.0,3.4,0.17,5.1,36.0,28.4,199.0,40.0,0.0,0.1
cheese reduce sodium swiss,"1 cup, shredded",108.0,961.0,3.4,0.17,27.4,36.0,28.4,14.0,216.0,0.0,0.5
cheese cheese cottage dessert gelatin,Quantity not specified,120.0,49.0,9.03,0.01,2.27,5.0,6.82,223.0,19.0,0.0,0.1
cheese cheese cottage dessert fruit gelatin,Quantity not specified,120.0,39.0,9.91,0.1,1.74,7.0,5.32,170.0,19.0,0.8,0.0
cheese cheese cottage dessert gelatin vegetable,1 cup,240.0,61.0,7.11,0.02,2.8,7.0,8.03,254.0,43.0,3.8,0.1
cheese cottage,1 cup,210.0,103.0,4.31,0.13,2.3,9.0,11.0,321.0,69.0,0.0,0.0
cheese cottage cream curd large small,Quantity not specified,105.0,88.0,4.6,0.0,4.22,9.0,11.62,350.0,36.0,0.0,0.1
cheese cottage curd dry,"1 cup, NFS",210.0,86.0,6.66,0.15,0.29,11.0,10.34,372.0,2.0,0.0,0.0
cheese cottage fat low,Quantity not specified,113.0,103.0,4.31,0.13,2.3,9.0,11.0,321.0,69.0,0.0,0.0
cheese cottage lactose lowfat reduce,Quantity not specified,113.0,103.0,4.31,0.13,2.3,9.0,11.0,321.0,69.0,0.0,0.0
cheese cottage low lowfat sodium,1 cup,226.0,61.0,2.7,0.14,1.0,5.0,12.4,13.0,11.0,0.0,0.0
cheese cottage fruit lowfat,Quantity not specified,113.0,71.0,10.3,0.1,1.57,10.0,7.3,209.0,46.0,18.8,0.0
cheese cottage curd dry salt,Quantity not specified,105.0,86.0,6.59,0.15,0.29,11.0,10.24,755.0,2.0,0.0,0.0
cheese cottage fruit,Quantity not specified,113.0,88.0,4.94,0.15,1.96,9.0,9.41,273.0,61.0,0.3,0.0
cheese cottage vegetable,Quantity not specified,113.0,91.0,5.63,0.23,1.98,11.0,9.78,278.0,91.0,0.5,0.0
cheese goat,"1 cup, crumbled",140.0,298.0,0.12,1.62,29.84,29.0,21.58,415.0,407.0,0.0,0.5
cheese paneer,1 cup,246.0,597.0,22.46,0.0,15.52,58.0,15.86,185.0,155.0,0.0,5.3
cheese cheese food process,1 Handi-Snack cheese container,16.0,1375.0,8.85,0.95,23.06,34.0,16.09,1279.0,270.0,0.0,6.5
cheese process vegetable,1 slice,21.0,393.0,3.48,0.16,31.7,18.0,14.14,946.0,285.0,4.2,0.3
cheese fat provolone reduce,1 cracker-size slice,9.0,756.0,3.5,0.52,17.6,28.0,24.7,615.0,141.0,0.0,0.3
burger cheeseburger king,1 cheeseburger,110.0,201.0,23.66,2.44,12.32,22.0,14.02,527.0,34.0,0.8,0.9
cheeseburger mcdonalds,1 cheeseburger,110.0,123.0,25.46,2.25,12.9,23.0,13.49,628.0,55.0,0.4,0.1
cheeseburger slider,Quantity not specified,80.0,167.0,17.9,2.52,16.41,22.0,18.09,431.0,33.0,0.4,0.5
cheeseburger fast food slider,1 miniature,60.0,228.0,25.02,2.56,14.29,23.0,16.15,505.0,46.0,0.6,0.7
cheeseburger,1 cheeseburger,165.0,171.0,18.71,2.53,16.15,22.0,17.87,438.0,34.0,0.5,0.6
cheeseburger fast food large patty,Quantity not specified,210.0,187.0,15.26,2.4,17.61,22.0,18.74,453.0,41.0,0.4,0.7
cheeseburger fast food medium patty,Quantity not specified,165.0,171.0,18.71,2.53,16.15,22.0,17.87,438.0,34.0,0.5,0.6
cheeseburger fast food patty small,Quantity not specified,115.0,237.0,23.96,2.51,14.78,23.0,16.42,510.0,50.0,0.6,0.7
cafeteria cheeseburger school,Quantity not specified,100.0,162.0,23.42,2.68,8.64,40.0,18.73,313.0,15.0,0.1,0.0
bun cheeseburger large patty wheat,1 cheeseburger,210.0,192.0,13.9,2.32,17.62,31.0,19.21,437.0,41.0,0.0,0.7
bun cheeseburger medium patty wheat,1 cheeseburger,165.0,178.0,17.01,2.43,16.17,34.0,18.46,418.0,34.0,0.0,0.6
bun cheeseburger patty small wheat,Quantity not specified,135.0,203.0,17.84,2.39,16.07,35.0,18.22,439.0,41.0,0.0,0.6
bun cheeseburger large patty white,Quantity not specified,210.0,187.0,15.26,2.4,17.61,22.0,18.74,453.0,41.0,0.4,0.7
bun cheeseburger medium patty white,1 cheeseburger,165.0,171.0,18.71,2.53,16.15,22.0,17.87,438.0,34.0,0.5,0.6
bun cheeseburger patty small white,1 cheeseburger,135.0,196.0,19.61,2.49,16.05,22.0,17.6,459.0,41.0,0.5,0.6
cheesecake chocolate,1 cup,180.0,69.0,35.52,1.14,26.14,26.0,5.72,269.0,215.0,0.0,0.3
cheesecake fruit,1 cup,180.0,63.0,38.23,0.72,23.88,11.0,4.8,252.0,199.0,0.9,0.3
cheesecake plain,1 cup,180.0,67.0,34.82,0.75,26.52,12.0,5.29,277.0,221.0,0.0,0.3
can cherry,Quantity not specified,125.0,10.0,18.79,0.34,0.14,8.0,0.71,1.0,7.0,2.0,0.0
cherry dry,Quantity not specified,40.0,38.0,80.45,0.68,0.73,22.0,1.25,13.0,141.0,19.3,0.0
cherry freeze,1 cup,150.0,12.0,16.16,0.11,0.19,12.0,1.04,0.0,3.0,10.4,0.0
cherry maraschino,Quantity not specified,5.0,54.0,41.97,0.43,0.21,4.0,0.22,4.0,2.0,0.0,0.0
cherry,Quantity not specified,75.0,12.0,16.16,0.11,0.19,12.0,1.04,0.0,3.0,10.4,0.0
cherry fill pie,Quantity not specified,130.0,9.0,28.59,1.08,0.91,5.0,0.6,52.0,37.0,1.6,0.0
chestnut,Quantity not specified,28.0,29.0,52.96,0.91,2.2,33.0,3.17,2.0,1.0,26.0,0.0
chew gum,1 stick,5.0,0.0,96.7,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0
chew free gum sugar,1 stick,5.0,20.0,94.8,0.0,0.4,0.0,0.0,7.0,0.0,0.0,0.0
chia seed,Quantity not specified,9.0,631.0,42.12,7.72,30.74,335.0,16.54,16.0,0.0,1.6,0.0
chicken fast food hot restaurant sauce wing,1 drummette,35.0,39.0,6.18,0.79,20.2,18.0,16.78,842.0,82.0,0.2,0.2
chicken hot sauce source wing,1 drummette,35.0,36.0,5.08,0.78,19.98,18.0,17.02,812.0,83.0,0.2,0.2
chicken hot precook sauce wing,Quantity not specified,140.0,27.0,2.5,0.76,19.48,18.0,17.57,741.0,86.0,0.2,0.1
chicken fast food restaurant sauce season wing,Quantity not specified,140.0,44.0,13.13,0.88,17.39,20.0,16.95,761.0,18.0,0.1,0.0
chicken sauce season source wing,1 drummette,35.0,40.0,12.01,0.87,17.17,20.0,17.19,731.0,19.0,0.1,0.0
chicken precook sauce season wing,Quantity not specified,140.0,32.0,9.42,0.84,16.67,20.0,17.74,660.0,22.0,0.1,0.0
boneless chicken fast food hot restaurant sauce wing,Quantity not specified,140.0,17.0,20.03,0.89,16.87,21.0,12.36,877.0,22.0,0.6,0.2
boneless chicken hot sauce source wing,1 boneless wing,35.0,38.0,19.98,0.9,11.82,25.0,11.39,827.0,24.0,0.5,0.1
chicken fast food plain restaurant wing,Quantity not specified,88.0,61.0,15.0,1.29,21.28,22.0,17.77,843.0,14.0,0.0,0.1
chicken plain source wing,Quantity not specified,88.0,49.0,12.64,1.25,21.07,20.0,18.03,729.0,13.0,0.0,0.1
chicken plain precook wing,1 drummette,22.0,22.0,7.15,1.16,20.59,17.0,18.62,461.0,10.0,0.0,0.2
chicken cream entree freeze meal noodle sauce vegetable,1 meal (10 oz),284.0,55.0,10.73,0.77,5.18,19.0,8.48,379.0,31.0,15.7,0.1
chicken diet entree freeze meal noodle vegetable,1 Healthy Choice meal (8.5 oz),241.0,21.0,9.78,0.64,1.89,18.0,7.58,283.0,61.0,13.8,0.0
chicken diet entree freeze meal rice vegetable,1 meal (9 oz),255.0,18.0,19.65,0.95,5.57,18.0,10.45,359.0,29.0,4.4,0.0
au chicken diet entree freeze gratin rice vegetable,1 entree (9.1 oz),258.0,95.0,7.24,0.57,5.41,29.0,10.67,499.0,90.0,6.9,0.0
breast chicken cook eat method n skin,1 medium slice,60.0,16.0,0.09,0.51,7.67,25.0,26.37,329.0,11.0,0.0,0.0
breast chicken cook eat method n skin,1 medium slice,60.0,13.0,0.0,0.46,3.57,25.0,28.04,328.0,5.0,0.0,0.0
bake breast broil chicken eat fast food restaurant skin,1 breast,130.0,7.0,0.0,0.52,10.6,23.0,25.67,406.0,17.0,0.0,0.1
bake breast broil chicken eat precook skin,1 small or thin slice,30.0,16.0,0.09,0.51,7.67,25.0,26.37,329.0,11.0,0.0,0.0
bake breast broil chicken eat fast food restaurant skin,1 large or thick slice,85.0,7.0,0.0,0.44,5.44,28.0,29.56,430.0,9.0,0.0,0.0
bake breast broil chicken eat precook skin,1 medium breast,120.0,13.0,0.0,0.46,3.57,25.0,28.04,328.0,5.0,0.0,0.0
bake breast broil chicken eat marinade roast skin,"1 cup, cooked, diced",135.0,8.0,0.31,0.55,10.45,24.0,25.32,399.0,17.0,0.0,0.1
bake breast broil chicken eat marinade roast skin,1 medium slice,60.0,7.0,0.31,0.47,5.38,28.0,29.13,423.0,9.0,0.0,0.0
bake breast broil chicken eat roast skin,1 large breast,145.0,7.0,0.0,0.53,8.8,24.0,26.25,336.0,18.0,0.0,0.1
bake breast broil chicken eat roast skin,1 large breast,135.0,7.0,0.0,0.45,3.52,28.0,30.22,360.0,9.0,0.0,0.0
bake breast chicken coat coat eat skin,"1 oz, cooked",28.35,11.0,4.01,0.77,9.9,23.0,23.75,320.0,17.0,0.0,0.1
bake breast chicken coat coat eat skin,1 large breast,135.0,7.0,0.0,0.44,5.45,28.0,29.62,353.0,9.0,0.0,0.0
breast chicken coat coat eat fry prepare skinless,1 medium breast,165.0,13.0,6.01,0.81,9.99,24.0,24.56,318.0,8.0,0.0,0.0
breast chicken coat coat eat fast food fry restaurant skin,1 breast,175.0,42.0,10.72,1.02,16.95,23.0,19.32,549.0,9.0,0.0,0.1
breast chicken coat coat eat fry precook skin,"1 oz, cooked",28.35,14.0,7.21,0.94,14.79,21.0,20.58,331.0,15.0,0.0,0.1
breast chicken coat coat eat fry skin,1 large or thick slice,85.0,13.0,6.01,0.88,14.11,21.0,21.46,299.0,15.0,0.0,0.1
breast chicken coat coat eat fast food fry restaurant skin,Quantity not specified,120.0,25.0,6.01,0.88,10.78,24.0,22.77,436.0,5.0,0.0,0.1
breast chicken coat coat eat fry precook skin,Quantity not specified,120.0,7.0,0.0,0.44,5.45,28.0,29.62,353.0,9.0,0.0,0.0
breast chicken coat coat eat fry skin,1 medium breast,120.0,7.0,0.0,0.44,5.45,28.0,29.62,353.0,9.0,0.0,0.0
breast chicken eat grill sauce skin,1 medium breast,175.0,12.0,7.34,0.55,9.15,22.0,21.15,454.0,16.0,0.1,0.1
breast chicken eat grill sauce skin,"1 breast, NS as to size",165.0,11.0,7.34,0.48,4.93,25.0,24.33,473.0,9.0,0.1,0.0
breast chicken eat grill sauce skin without,"1 breast quarter (yield after cooking, bone removed)",155.0,7.0,0.0,0.53,10.62,24.0,25.72,329.0,17.0,0.0,0.1
breast chicken eat grill sauce skin without,1 large or thick slice,85.0,7.0,0.0,0.44,5.45,28.0,29.62,353.0,9.0,0.0,0.0
breast chicken eat rotisserie skin,"1 cup, cooked, diced",135.0,16.0,0.09,0.51,7.67,25.0,26.37,329.0,11.0,0.0,0.0
breast chicken eat rotisserie skin,1 small or thin slice,30.0,13.0,0.0,0.46,3.57,25.0,28.04,328.0,5.0,0.0,0.0
breast chicken eat saute skin,1 medium slice,60.0,7.0,0.0,0.53,10.62,24.0,25.72,329.0,17.0,0.0,0.1
breast chicken eat saute skin,"1 breast, NS as to size",120.0,7.0,0.0,0.44,5.45,28.0,29.62,353.0,9.0,0.0,0.0
breast chicken eat skin stew,1 large or thick slice,85.0,7.0,0.0,0.5,8.28,23.0,24.7,316.0,17.0,0.0,0.1
breast chicken eat skin stew,1 large or thick slice,85.0,6.0,0.0,0.41,3.26,26.0,27.96,333.0,8.0,0.0,0.0
chicken cornbread,1 cubic inch,7.6,17.0,9.38,1.04,8.21,15.0,13.78,458.0,73.0,0.0,0.6
chicken curry,1 cup,240.0,20.0,6.54,0.71,6.48,18.0,6.48,376.0,48.0,8.9,0.0
chicken curry rice,Quantity not specified,200.0,16.0,15.12,0.9,4.0,15.0,4.96,324.0,29.0,5.4,0.0
chicken deli restaurant sandwich sub,1 miniature/slider,65.0,103.0,24.28,1.76,2.66,26.0,13.72,763.0,1.0,0.0,0.1
cheese chicken deli restaurant sandwich sub,1 regular,160.0,245.0,20.87,1.53,7.23,27.0,14.9,807.0,49.0,0.0,0.7
chicken dinner freeze meal,1 meal (11 oz),312.0,55.0,10.73,0.77,5.18,19.0,8.48,379.0,31.0,15.7,0.1
chicken cook drumstick eat method n skin,"1 oz, cooked",28.35,22.0,0.12,1.02,11.46,23.0,25.65,392.0,17.0,0.0,0.0
chicken cook drumstick eat method n skin,Quantity not specified,50.0,20.0,0.0,1.05,6.76,23.0,27.71,403.0,10.0,0.0,0.0
bake broil chicken drumstick eat fast food restaurant skin,"1 cup, cooked, diced",135.0,11.0,0.0,1.08,11.83,21.0,22.66,503.0,12.0,0.0,0.1
bake broil chicken drumstick eat precook skin,"1 cup, cooked, diced",135.0,22.0,0.12,1.02,11.46,23.0,25.65,392.0,17.0,0.0,0.0
bake broil chicken drumstick eat fast food restaurant skin,"1 cup, cooked, diced",135.0,11.0,0.0,1.11,7.51,21.0,23.52,507.0,6.0,0.0,0.0
bake broil chicken drumstick eat precook skin,Quantity not specified,50.0,20.0,0.0,1.05,6.76,23.0,27.71,403.0,10.0,0.0,0.0
bake broil chicken drumstick eat roast skin,1 small drumstick,45.0,11.0,0.0,1.1,10.09,22.0,23.21,353.0,12.0,0.0,0.1
bake broil chicken drumstick eat roast skin,1 medium drumstick,50.0,11.0,0.0,1.13,5.67,22.0,24.1,358.0,6.0,0.0,0.0
bake chicken coat coat drumstick eat skin,Quantity not specified,85.0,15.0,3.98,1.27,11.01,21.0,21.04,439.0,11.0,0.0,0.1
bake chicken coat coat drumstick eat skin,"1 cup, cooked, diced",135.0,11.0,0.0,1.11,7.53,21.0,23.57,432.0,6.0,0.0,0.0
chicken coat coat drumstick eat fry prepare skinless,"1 oz, cooked",28.35,16.0,5.96,1.34,11.6,19.0,19.73,443.0,6.0,0.0,0.0
chicken coat coat drumstick eat fast food fry restaurant skin,Quantity not specified,85.0,27.0,12.14,1.25,18.76,20.0,17.77,624.0,19.0,0.0,0.1
chicken coat coat drumstick eat fry precook skin,1 small drumstick,65.0,17.0,7.15,1.36,15.66,19.0,18.3,479.0,10.0,0.0,0.1
chicken coat coat drumstick eat fry skin,1 large drumstick,110.0,16.0,5.98,1.32,15.07,20.0,19.08,363.0,11.0,0.0,0.1
chicken coat coat drumstick eat fast food fry restaurant skin,"1 oz, cooked",28.35,20.0,6.12,1.28,11.21,22.0,21.82,546.0,10.0,0.0,0.1
chicken coat coat drumstick eat fry precook skin,"1 cup, cooked, diced",135.0,11.0,0.0,1.11,7.53,21.0,23.57,432.0,6.0,0.0,0.0
chicken coat coat drumstick eat fry skin,1 large drumstick,65.0,11.0,0.0,1.11,7.54,21.0,23.61,356.0,6.0,0.0,0.0
chicken drumstick eat grill sauce skin,Quantity not specified,85.0,15.0,7.28,1.0,10.15,20.0,18.68,588.0,11.0,0.1,0.1
chicken drumstick eat grill sauce skin,"1 oz, cooked",28.35,15.0,7.28,1.02,6.62,20.0,19.39,592.0,7.0,0.1,0.0
chicken drumstick eat grill sauce skin without,"1 drumstick, NS as to size",60.0,11.0,0.0,1.08,11.85,21.0,22.7,427.0,12.0,0.0,0.1
chicken drumstick eat grill sauce skin without,1 large drumstick,65.0,11.0,0.0,1.11,7.53,21.0,23.57,432.0,6.0,0.0,0.0
chicken drumstick eat rotisserie skin,Quantity not specified,60.0,22.0,0.12,1.02,11.46,23.0,25.65,392.0,17.0,0.0,0.0
chicken drumstick eat rotisserie skin,Quantity not specified,50.0,20.0,0.0,1.05,6.76,23.0,27.71,403.0,10.0,0.0,0.0
chicken drumstick eat saute skin,1 small drumstick,45.0,11.0,0.0,1.08,11.85,21.0,22.7,427.0,12.0,0.0,0.1
chicken drumstick eat saute skin,"1 drumstick, NS as to size",50.0,11.0,0.0,1.11,7.53,21.0,23.57,432.0,6.0,0.0,0.0
chicken drumstick eat skin stew,1 large drumstick,90.0,12.0,0.0,0.93,10.64,21.0,22.54,417.0,12.0,0.0,0.1
chicken drumstick eat skin stew,1 large drumstick,70.0,12.0,0.0,0.93,5.9,22.0,23.71,423.0,7.0,0.0,0.1
chicken egg foo yung,1 cup,175.0,34.0,4.78,1.11,7.38,15.0,12.79,401.0,85.0,1.7,1.1
chicken foot,Quantity not specified,85.0,88.0,0.2,0.91,14.6,5.0,19.4,67.0,30.0,0.0,0.2
biscuit chicken fast fillet food,"1 sandwich, any size",155.0,51.0,26.41,1.64,19.09,22.0,10.78,775.0,12.0,0.3,0.1
chicken fillet sandwich,"1 sandwich, any size",140.0,77.0,27.48,1.78,13.46,25.0,12.17,571.0,4.0,0.8,0.1
chicken fast fillet food fry grill n sandwich,1 large sandwich,280.0,77.0,27.48,1.78,13.46,25.0,12.17,571.0,4.0,0.8,0.1
chicken fast fillet food fry sandwich,1 regular sandwich,140.0,77.0,27.48,1.78,13.46,25.0,12.17,571.0,4.0,0.8,0.1
cheese chicken fast fillet food fry sandwich,1 miniature/slider,80.0,180.0,24.66,1.61,15.34,26.0,13.2,626.0,37.0,0.7,0.5
bun chicken fillet fry sandwich wheat,1 large sandwich,280.0,85.0,26.3,1.71,11.7,39.0,13.08,482.0,4.0,0.3,0.1
bun cheese chicken fillet fry sandwich wheat,1 sandwich (1 slice bread),80.0,190.0,23.58,1.55,13.84,38.0,14.01,550.0,38.0,0.3,0.5
bun chicken fillet fry sandwich white,1 miniature/slider,70.0,79.0,28.11,1.82,11.67,26.0,12.45,503.0,4.0,0.8,0.1
bun cheese chicken fillet fry sandwich white,1 submarine,322.0,184.0,25.16,1.64,13.82,26.0,13.46,568.0,38.0,0.7,0.5
cafeteria chicken fillet sandwich school,"1 sandwich, any size",92.0,107.0,29.8,3.09,8.06,55.0,14.62,446.0,0.0,0.3,0.1
chicken fast fillet food grill sandwich,1 large sandwich,280.0,60.0,19.4,1.59,6.18,25.0,21.5,430.0,5.0,0.5,0.0
cheese chicken fast fillet food grill sandwich,1 miniature/slider,80.0,168.0,17.55,1.44,9.05,26.0,21.36,504.0,39.0,0.4,0.5
bun chicken fillet grill sandwich wheat,Quantity not specified,140.0,67.0,17.84,1.51,4.87,39.0,22.46,387.0,5.0,0.0,0.0
bun cheese chicken fillet grill sandwich wheat,1 submarine,322.0,176.0,16.17,1.37,7.94,38.0,22.19,468.0,40.0,0.0,0.5
bun chicken fillet grill sandwich white,1 sandwich (1 slice bread),70.0,61.0,19.69,1.62,4.84,26.0,21.82,408.0,5.0,0.5,0.0
bun cheese chicken fillet grill sandwich white,1 miniature/slider,80.0,170.0,17.78,1.46,7.92,26.0,21.64,487.0,40.0,0.4,0.5
chicken fast fillet food fry sandwich wrap,Quantity not specified,161.0,181.0,24.42,1.68,16.68,26.0,12.68,694.0,37.0,0.3,0.5
chicken fast fillet food grill sandwich wrap,Quantity not specified,161.0,169.0,17.3,1.51,10.42,26.0,20.83,574.0,39.0,0.0,0.5
bread chicken fillet,1 cubic inch,17.0,39.0,14.86,0.84,13.58,29.0,14.62,527.0,7.0,0.5,0.1
chicken fillet grill,Quantity not specified,100.0,11.0,2.36,0.37,5.81,21.0,22.31,450.0,4.0,0.0,0.0
chicken fricassee puerto rican style,"1 cup, NFS",223.0,18.0,7.17,0.77,10.65,20.0,12.13,753.0,20.0,16.9,0.1
chicken freeze meal rice sauce soybased vegetable,1 meal (9 oz),255.0,16.0,18.06,0.56,0.91,15.0,6.56,333.0,11.0,3.6,0.0
chicken kiev,Quantity not specified,258.0,43.0,5.45,0.66,19.21,24.0,21.31,644.0,83.0,0.0,0.1
chicken cook drumstick eat leg method n skin thigh,"1 cup, cooked, diced",135.0,18.0,0.12,0.98,13.63,22.0,23.77,358.0,19.0,0.0,0.0
chicken cook drumstick eat leg method n skin thigh,"1 oz, cooked",28.35,16.0,0.0,1.0,9.15,22.0,25.54,362.0,12.0,0.0,0.0
bake broil chicken drumstick eat leg skin thigh,1 large leg,185.0,10.0,0.0,1.08,12.81,22.0,23.16,341.0,14.0,0.0,0.2
bake broil chicken drumstick eat leg skin thigh,1 small leg,105.0,10.0,0.0,1.13,7.13,23.0,24.41,345.0,7.0,0.0,0.1
bake chicken coat coat drumstick eat leg skin thigh,Quantity not specified,195.0,14.0,3.98,1.25,13.4,21.0,20.99,428.0,14.0,0.0,0.2
bake chicken coat coat drumstick eat leg skin thigh,1 large leg,155.0,10.0,0.0,1.11,8.96,23.0,23.87,419.0,7.0,0.0,0.1
chicken coat coat drumstick eat fry leg skin thigh,"1 cup, cooked, diced",135.0,15.0,5.98,1.3,17.2,20.0,19.04,353.0,13.0,0.0,0.1
chicken coat coat drumstick eat fry leg skin thigh,"1 cup, cooked, diced",135.0,10.0,0.0,1.11,8.98,23.0,23.92,343.0,7.0,0.0,0.1
chicken drumstick eat grill leg sauce skin thigh,"1 leg, NS as to size",195.0,14.0,7.28,0.98,12.32,20.0,18.64,578.0,13.0,0.1,0.1
chicken drumstick eat grill leg sauce skin thigh,Quantity not specified,185.0,14.0,7.28,1.02,7.79,21.0,19.63,582.0,8.0,0.1,0.1
chicken drumstick eat grill leg sauce skin thigh without,"1 leg, NS as to size",140.0,10.0,0.0,1.06,14.52,21.0,22.65,414.0,14.0,0.0,0.2
chicken drumstick eat grill leg sauce skin thigh without,1 small leg,105.0,10.0,0.0,1.11,8.96,23.0,23.87,419.0,7.0,0.0,0.1
chicken drumstick eat leg rotisserie skin thigh,"1 leg quarter (yield after cooking, bone removed)",140.0,18.0,0.12,0.98,13.63,22.0,23.77,358.0,19.0,0.0,0.0
chicken drumstick eat leg rotisserie skin thigh,1 leg,120.0,16.0,0.0,1.0,9.15,22.0,25.54,362.0,12.0,0.0,0.0
chicken drumstick eat leg saute skin thigh,"1 leg, NS as to size",140.0,10.0,0.0,1.06,14.52,21.0,22.65,414.0,14.0,0.0,0.2
chicken drumstick eat leg saute skin thigh,1 medium leg,120.0,10.0,0.0,1.11,8.96,23.0,23.87,419.0,7.0,0.0,0.1
chicken drumstick eat leg skin stew thigh,"1 oz, cooked",28.35,12.0,0.0,1.09,13.44,22.0,22.45,396.0,14.0,0.0,0.2
