ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G
apple candy,Quantity not specified,320.0,39.0,29.61,0.12,2.15,8.0,1.34,62.0,5.0,3.6,0.0
apple dry,Quantity not specified,40.0,14.0,65.89,1.4,0.32,16.0,0.93,87.0,0.0,3.9,0.0
apple,1 medium,200.0,5.0,14.8,0.03,0.15,5.0,0.17,0.0,3.0,4.6,0.0
applesauce flavor,1 pouch,90.0,4.0,17.97,0.04,0.17,4.0,0.25,1.0,0.0,40.8,0.0
applesauce regular,1 cup,250.0,4.0,17.97,0.04,0.17,4.0,0.25,1.0,0.0,40.8,0.0
applesauce unsweetened,Quantity not specified,120.0,4.0,12.26,0.04,0.16,4.0,0.27,1.0,0.0,43.7,0.0
apricot nectar,Quantity not specified,248.0,11.0,13.63,0.1,0.45,5.0,0.17,8.0,16.0,29.7,0.0
apricot can,1 half,18.0,7.0,13.85,0.3,0.17,6.0,0.65,3.0,90.0,3.1,0.0
apricot dry,1 cup,160.0,55.0,62.64,2.66,0.51,32.0,3.39,10.0,180.0,1.0,0.0
apricot,1 slice/chunk,10.0,13.0,11.12,0.39,0.39,10.0,1.4,1.0,96.0,10.0,0.0
arepa dominicana,"1 piece (4"" x 2"" x 1-3/4"")",115.0,82.0,30.47,2.31,14.0,28.0,5.66,399.0,62.0,0.8,0.8
armadillo,Quantity not specified,85.0,16.0,0.0,1.11,4.34,27.0,28.08,367.0,0.0,0.0,0.0
artichoke,1 cup,150.0,21.0,11.95,0.61,0.34,42.0,2.89,60.0,1.0,7.4,0.0
artichoke dip,1 tablespoon,15.0,103.0,5.78,0.21,32.67,13.0,3.86,607.0,71.0,2.0,0.1
