target_cleaned,recipe_cleaned,ingredient_cleaned,is_ok,ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,recipe,content,quantity,grammage,unit
noodle pasta,,cook pasta,True,cook pasta,"1 oz, dry, yields",80.0,7.0,30.68,1.27,0.92,18.0,5.76,232.0,0.0,0.0,0.0,,,,,
cream,,cream heavy,True,cream heavy,Quantity not specified,20.0,61.0,3.8,0.0,35.56,6.0,2.02,21.0,327.0,0.6,1.6,,,,,
cake chocolate,,nan,True,,,,,,,,,,,,,,,,,,
green leaf salad salad,,dress salad salad,True,dress salad salad,1 tablespoon,15.6,28.0,5.9,0.3,44.54,5.0,1.32,810.0,15.0,0.0,0.1,,,,,
potato steam,,nan,True,,,,,,,,,,,,,,,,,,
cabbage white,,cabbage chinese,True,cabbage chinese,Quantity not specified,45.0,105.0,2.18,0.8,0.2,19.0,1.5,65.0,223.0,45.0,0.0,,,,,
applesauce can unsweetened,,applesauce unsweetened,True,applesauce unsweetened,Quantity not specified,120.0,4.0,12.26,0.04,0.16,4.0,0.27,1.0,0.0,43.7,0.0,,,,,
mushroom,,mushroom,True,mushroom,Quantity not specified,35.0,5.0,4.13,0.23,0.35,10.0,2.9,6.0,0.0,2.1,0.0,,,,,
egg,,egg white,True,egg white,1 egg white,33.0,7.0,2.36,0.08,0.0,11.0,10.7,166.0,0.0,0.0,0.0,,,,,
bread white,,bread white,True,bread white,Quantity not specified,28.0,211.0,49.2,3.36,3.59,27.0,9.43,450.0,0.0,0.0,0.0,,,,,
caffeine coffee,,cafe coffee mocha,True,cafe coffee mocha,1 fl oz,31.0,96.0,10.22,0.02,1.47,25.0,2.56,46.0,63.0,0.2,0.8,,,,,
herbal tea,,nan,True,,,,,,,,,,,,,,,,,,
beef sirloin steak,,beef round steak,True,beef round steak,1 regular,160.0,18.0,0.0,3.21,4.25,17.0,29.72,382.0,5.0,0.0,0.0,,,,,
zucchini,,nan,True,,,,,,,,,,,,,,,,,,
mandarine,,tangerine,True,tangerine,Quantity not specified,109.0,37.0,13.34,0.15,0.31,12.0,0.81,2.0,34.0,26.7,0.0,,,,,
apple juice,,apple juice,True,apple juice,1 fun size box (4.23 fl oz),131.0,7.0,11.34,0.06,0.25,5.0,0.09,5.0,0.0,38.6,0.0,,,,,
caprese mozzarella salad tomato,,cheese mozzarella part skim,True,cheese mozzarella part skim,1 stick,28.35,693.0,4.44,0.2,20.4,27.0,23.7,699.0,203.0,0.0,0.4,,,,,
red wine,,red wine,True,red wine,1/2 bottle,375.0,8.0,2.61,0.46,0.0,12.0,0.07,4.0,0.0,0.0,0.0,,,,,
pasta ravioli stuff,,meatfilled ravioli sauce,True,meatfilled ravioli sauce,1 cup,160.0,32.0,17.7,2.29,7.42,15.0,12.59,770.0,35.0,0.1,0.4,,,,,
omelette plain,,egg egg fat n omelet scramble,True,egg egg fat n omelet scramble,1 cup,135.0,46.0,0.91,1.56,15.0,10.0,11.58,248.0,193.0,0.0,2.4,,,,,
chocolate dark,,chocolate fat milk reduce,True,chocolate fat milk reduce,1 individual school container,248.0,109.0,12.13,0.24,1.9,14.0,2.99,66.0,64.0,0.0,1.2,,,,,
dress french salad,,nan,True,,,,,,,,,,,,,,,,,,
kaki,,juice prune,True,juice prune,1 fl oz (with ice),23.0,12.0,17.45,1.18,0.03,14.0,0.61,4.0,0.0,4.1,0.0,,,,,
macaroon,,nan,True,,,,,,,,,,,,,,,,,,
carrot,,carrot,True,carrot,1 single serving bag,80.0,36.0,9.68,0.12,0.24,12.0,0.87,75.0,762.0,4.2,0.0,,,,,
crêpe plain,,crepe plain,True,crepe plain,1 surface inch,1.3,95.0,22.02,1.87,11.29,17.0,8.85,278.0,98.0,0.0,1.5,,,,,
jam,,jam,True,jam,1 tablespoon,20.0,20.0,68.86,0.49,0.07,4.0,0.37,32.0,0.0,8.8,0.0,,,,,
chicken nugget,,chicken nugget,True,chicken nugget,1 cup,140.0,11.0,14.93,0.83,20.36,24.0,15.92,594.0,5.0,0.6,0.2,,,,,
pumpkin soup,,pumpkin soup,True,pumpkin soup,1 individual container,440.0,23.0,6.86,0.74,4.7,12.0,1.1,241.0,368.0,2.3,0.2,,,,,
sushi,,sushi,True,sushi,1 piece,30.0,6.0,18.39,0.21,0.67,13.0,2.92,428.0,4.0,0.9,0.0,,,,,
chestnut,,chestnut,True,chestnut,Quantity not specified,28.0,29.0,52.96,0.91,2.2,33.0,3.17,2.0,1.0,26.0,0.0,,,,,
sauce soya,,sauce soy,True,sauce soy,Quantity not specified,16.0,33.0,4.93,1.45,0.57,74.0,8.14,5493.0,0.0,0.0,0.0,,,,,
cabbage chinese,,cabbage chinese,True,cabbage chinese,Quantity not specified,45.0,105.0,2.18,0.8,0.2,19.0,1.5,65.0,223.0,45.0,0.0,,,,,
green tea,,nan,True,,,,,,,,,,,,,,,,,,
bread wheat whole,,bread wheat whole,True,bread wheat whole,"1 slice, snack-size",10.0,163.0,43.1,2.56,3.55,77.0,12.3,430.0,0.0,0.0,0.0,,,,,
eggplant,,eggplant,True,eggplant,Quantity not specified,40.0,9.0,5.88,0.23,0.18,14.0,0.98,2.0,1.0,2.2,0.0,,,,,
onion,,onion,True,onion,Quantity not specified,15.0,17.0,8.46,0.24,0.08,9.0,0.86,1.0,0.0,8.2,0.0,,,,,
garlic,,garlic,True,garlic,1 clove,3.0,181.0,28.2,1.7,0.38,25.0,6.62,17.0,0.0,10.0,0.0,,,,,
hummus,,nan,True,,,,,,,,,,,,,,,,,,
bake pizza vegetable,,meat pizza top vegetable,True,meat pizza top vegetable,1 cup,168.0,286.0,7.66,0.97,22.03,27.0,17.55,837.0,98.0,11.0,0.6,,,,,
black olive,,black olive,True,black olive,1 olive,5.0,88.0,6.04,6.28,10.9,4.0,0.84,735.0,17.0,0.9,0.0,,,,,
bake margherita pizza,,nan,True,,,,,,,,,,,,,,,,,,
ear lamb salad,,lamb stew,True,lamb stew,1 cup,255.0,16.0,6.29,0.79,6.39,17.0,8.19,308.0,129.0,7.0,0.0,,,,,
drink g glucose,,drink energy monster,True,drink energy monster,1 can (20 fl oz),620.0,0.0,11.28,0.04,0.0,0.0,0.47,77.0,0.0,0.0,0.0,,,,,
mozzarella,,cheese mozzarella,True,cheese mozzarella,1 cubic inch,18.0,693.0,4.44,0.2,20.4,27.0,23.7,699.0,203.0,0.0,0.4,,,,,
cauliflower,,cauliflower,True,cauliflower,Quantity not specified,55.0,22.0,4.97,0.42,0.28,15.0,1.92,30.0,0.0,48.2,0.0,,,,,
bake cake dough quiche spinach,,meatless quiche spinach,True,meatless quiche spinach,"1 piece (1/8 of 9"" dia)",143.0,231.0,11.68,1.08,23.51,39.0,10.29,317.0,264.0,4.3,0.9,,,,,
