name_readable,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Calcium_(MG)_total,Carbohydrates_(G)_total,Iron_(MG)_total,Lipid_(G)_total,Magnesium_(MG)_total,Protein_(G)_total,Sodium_(MG)_total,Vitamin_A_(UG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total
"Bread, sourdough",recipe_1_person,0.775,106.0,7.73,1.36,10.06,17.0,12.86,384.0,82.0,0.8000000000000002,0.8000000000000002,0.8215,0.0599075,0.01054,0.077965,0.13175,0.099665,2.9760000000000004,0.6355000000000001,0.0062,0.0062
"Soup, Miso",recipe_1_person,1.25,372.0,52.39,24.95,4.01,482.0,31.84,575.0,14.0,5.0,0.0,4.65,0.654875,0.311875,0.0501249999999999,6.025,0.3979999999999999,7.1875,0.175,0.0625,0.0
"Rice, Basmati",recipe_1_person,42.5,25.0,23.54,1.64,4.24,33.0,7.489999999999999,263.0,1.0,0.3,0.0,10.625,10.0045,0.6970000000000001,1.8020000000000005,14.025,3.18325,111.775,0.425,0.1275,0.0
"Bacon, frying",recipe_1_person,7.5,21.0,65.36,5.58,24.719999999999995,41.0,5.1,311.0,0.0,0.0,0.0,1.575,4.902,0.4185,1.854,3.075,0.3825,23.325,0.0,0.0,0.0
Halloumi,recipe_1_person,42.5,89.0,20.02,0.66,3.67,29.0,9.22,58.0,7.0,0.0,0.7,37.825,8.5085,0.2805,1.55975,12.325,3.9185,24.65,2.975,0.0,0.2975
Chicken curry (cream/coconut milk. curry spices/paste)),recipe_1_person,3.5,17.0,17.25,0.7299999999999999,13.95,28.0,19.22,769.0,3.0,1.1,0.2,0.595,0.60375,0.0255499999999999,0.4882499999999999,0.98,0.6727,26.915,0.105,0.0385,0.007
Brownie,recipe_1_person,3.75,83.0,8.37,1.69,3.21,23.0,2.09,161.0,67.0,18.2,0.0,3.1125,0.3138749999999999,0.063375,0.120375,0.8625,0.078375,6.0375,2.5125,0.6825,0.0
Dairy ice cream,recipe_1_person,61.25,18.0,13.95,0.98,4.57,14.0,7.13,333.0,31.0,2.8,0.3,11.025,8.544375,0.60025,2.799125,8.575,4.367125,203.9625,18.9875,1.715,0.18375
Carrot cake,recipe_1_person,43.75,6.0,1.22,0.03,37.91,1.0,0.33,586.0,1330.0,0.0,3.7,2.625,0.53375,0.013125,16.585624999999997,0.4375,0.144375,256.375,581.875,0.0,1.61875
Salad dressing,recipe_1_person,45.0,9.0,2.6,0.27,0.0,10.0,0.07,5.0,0.0,0.0,0.0,4.05,1.17,0.1215,0.0,4.5,0.0315,2.25,0.0,0.0,0.0
Bread,recipe_1_person,8.75,116.0,78.46,16.06,4.44,50.0,6.88,530.0,3.0,14.3,5.0,10.15,6.86525,1.4052499999999997,0.3885,4.375,0.602,46.375,0.2625,1.25125,0.4375
